,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12470,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19946503.0,19946503.0,False,,1,,,,2025-11-09T16:56:00.000Z,103805.08986184049,52496063426.894966,-19.1329,-0.01750271,2.03431879,-5.71953405,-12.36550691,-8.70118347,-13.5251767,2070548536344.471,59.2509,2179906887098.65,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
1,1027,Ethereum,ETH,ethereum,11124,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120696609.84895349,120696609.84895349,True,,2,,,,2025-11-09T16:56:00.000Z,3528.420694737282,25138900187.233406,-20.9602,0.28760369,4.98227558,-8.67571162,-14.22719093,-19.4511512,-18.31967824,425868415975.6791,12.1867,425868415975.68,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
2,825,Tether USDt,USDT,tether,157463,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183470378260.13113,185913663196.61996,True,,3,,,,2025-11-09T16:56:00.000Z,0.999798282130561,96926539381.29819,-25.7547,-0.01673186,0.01071539,-0.02324077,-0.04536331,-0.02123642,-0.02262374,183433369006.32333,5.2491,185876161088.58,,2025-11-09T16:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-11-09 19:58:06.640950
3,52,XRP,XRP,xrp,1754,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,60107199237.0,99985774127.0,False,,4,,,,2025-11-09T16:56:00.000Z,2.3291045407157918,2787675641.3608294,-40.8967,0.25002675,3.0428378,-6.90473958,-14.76159422,-22.42620424,-27.0614555,139995950672.60547,4.0061,232910454071.58,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
4,1839,BNB,BNB,bnb,2946,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",137737327.3,137737327.3,137737327.3,False,,5,,,,2025-11-09T16:56:00.000Z,1001.3804049766163,2570426435.3279514,-24.6413,0.49869846,1.34046717,-7.14576246,-18.40089647,11.44582685,24.13784108,137927460592.07077,3.9469,137927460592.07,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
5,5426,Solana,SOL,solana,1046,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,553591738.8901277,613683960.8099823,True,,6,525236893.3,85602888154.2269,,2025-11-09T16:56:00.000Z,162.97957977855341,3884806587.0462317,-24.2191,0.08746182,4.19940533,-11.4051605,-22.85401775,-27.10994432,-9.02553377,90224148973.19167,2.5819,100017954049.65,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
6,3408,USDC,USDC,usd-coin,34284,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,75697550755.95766,75697550755.95766,False,,7,60901219650.23,60884155856.82785,,2025-11-09T16:56:00.000Z,0.9997198119594295,9535289663.03023,-36.2506,-0.01604444,-0.01708663,-0.02725567,-0.0034027,0.00312173,-0.01740998,75676341207.53535,2.1656,75676341207.54,,2025-11-09T16:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-11-09 19:58:06.640950
7,1958,TRON,TRX,tron,1259,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94668458630.60661,94668457501.60551,True,,8,94667886298.43,27602528779.19376,,2025-11-09T16:56:00.000Z,0.2915722517790231,434698928.7826035,-40.4844,-0.07607429,0.27807004,-1.46958242,-11.96706892,-13.94518059,-15.40079764,27602695655.37526,0.7899,27602695326.19,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
8,74,Dogecoin,DOGE,dogecoin,1345,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151703596383.7052,151703596383.7052,True,,9,,,,2025-11-09T16:56:00.000Z,0.17890364986749469,1463442055.129497,-50.1162,0.23903865,2.76754507,-2.45237846,-24.53815894,-27.47302184,-22.40468448,27140327091.07013,0.7766,27140327091.07,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
9,2010,Cardano,ADA,cardano,1623,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35866283823.40763,44994566647.19702,False,,10,37997904336.0,21965242009.83895,,2025-11-09T16:56:00.000Z,0.5780645641825206,636987850.7531952,-40.2176,0.27753802,3.72689509,-3.69117366,-26.14457335,-34.87800513,-27.26090615,20733027727.22472,0.5933,26012905388.21,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
